country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Chile, 1993",6242900,6063500,116,624
"Chile, 1994",6352700,6173900,97,704
"Chile, 1995",6547757,6349886,123,807
"Chile, 1996",6660974,6464115,121,796
"Chile, 1997",6767797,6571753,134,776
"Chile, 1998",6869693,6674247,132,899
"Chile, 1999",6969462,6774420,138,903
"Chile, 2000",7069189,6874386,207,1266
"Chile, 2001",7167193,6972397,233,1392
"Chile, 2002",7263894,7068946,246,1357
"Chile, 2003",7359474,7164284,252,1402
"Chile, 2004",7453237,7257756,263,1472
"Chile, 2005",7544677,7348897,279,1403
"Chile, 2006",7633819,7437777,297,1498
"Chile, 2007",7720821,7524614,352,1496
"Chile, 2008",7805966,7609695,414,1674
"Chile, 2009",7890181,7693968,424,1724
"Chile, 2010",7973951,7777900,383,1618
"Chile, 2011",8053290,7857493,370,1657
"Chile, 2012",8135237,7940010,331,1510
"Chile, 2013",8218326,8023918,318,1420
"Chile, 2014",8300156,8106711,314,1475
"Chile, 2015",8379071,8186654,378,1460
"Colombia, 1984",12241800,12283600,226,830
"Colombia, 1985",12504900,12547500,218,783
"Colombia, 1986",12771000,12814600,218,740
"Colombia, 1987",14140430,13869002,195,756
"Colombia, 1988",14467173,14182328,171,741
"Colombia, 1989",14794942,14494887,178,653
"Colombia, 1990",15124385,14806588,200,665
"Colombia, 1991",15462024,15122154,212,798
"Colombia, 1992",14972700,14642700,236,850
"Colombia, 1993",15290100,14952100,214,871
"Colombia, 1994",15610300,15264300,268,930
"Colombia, 1995",16763990,16326909,261,889
"Colombia, 1996",17081232,16622404,258,951
"Colombia, 1997",17408293,16930532,281,961
"Colombia, 1998",17740903,17246136,500,1552
"Colombia, 1999",18070349,17559059,493,1650
"Colombia, 2000",18390439,17861903,543,1815
"Colombia, 2001",18715414,18169014,557,1855
"Colombia, 2002",19021429,18456847,564,1815
"Colombia, 2003",19313835,18730678,577,1692
"Colombia, 2004",19603308,19001408,501,1743
"Colombia, 2005",19896799,19275991,465,1637
"Colombia, 2006",20175153,19533523,460,1717
"Colombia, 2007",20468273,19806933,454,1727
"Colombia, 2008",20769742,20089387,448,1772
"Colombia, 2009",21067761,20368412,447,1802
"Colombia, 2010",21354006,20635097,397,1710
"Colombia, 2011",21638461,20899844,382,1662
"Colombia, 2012",21907280,21148584,387,1732
"Colombia, 2013",22162757,21383541,405,1663
