country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Netherlands, 2010",7940767,7750642,477,1127
"Netherlands, 2011",7980218,7791944,513,1137
"Netherlands, 2012",8013092,7826411,570,1186
"Netherlands, 2013",8042154,7857354,549,1307
"Netherlands, 2014",8042154,7857354,589,1250
"Netherlands, 2015",8114362,7942980,591,1282
"Netherlands, 2016",8157860,7997893,616,1279
"New Zealand, 1979",1437700,1426500,89,213
"New Zealand, 1980",1444000,1432900,112,225
"New Zealand, 1981",1464400,1441700,79,241
"New Zealand, 1982",1479800,1454400,107,257
"New Zealand, 1983",1500300,1474700,102,250
"New Zealand, 1984",1517500,1488800,92,297
"New Zealand, 1985",1528400,1497400,83,255
"New Zealand, 1986",1531900,1494200,113,301
"New Zealand, 1987",1544500,1502600,100,363
"New Zealand, 1988",1550400,1504800,103,381
"New Zealand, 1989",1558500,1505300,93,372
"New Zealand, 1990",1572900,1516500,92,363
"New Zealand, 1991",1635300,1568600,94,380
"New Zealand, 1992",1650100,1585500,96,397
"New Zealand, 1993",1668600,1604600,94,349
"New Zealand, 1994",1691500,1628000,103,409
"New Zealand, 1995",1718500,1655300,116,429
"New Zealand, 1996",1747400,1685100,112,428
"New Zealand, 1997",1766200,1704000,121,441
"New Zealand, 1998",1783000,1719800,132,442
"New Zealand, 1999",1811350,1737950,131,385
"New Zealand, 2000",1826230,1747460,83,375
"New Zealand, 2001",1840190,1758900,119,389
"New Zealand, 2002",1868550,1790640,113,354
"New Zealand, 2003",1901570,1827850,141,378
"New Zealand, 2004",1944520,1857990,113,382
"New Zealand, 2005",1969610,1879670,132,382
"New Zealand, 2006",1996470,1902130,139,388
"New Zealand, 2007",2014800,1920650,118,376
"New Zealand, 2008",2030310,1938140,139,381
"New Zealand, 2009",2049630,1960350,118,394
"New Zealand, 2010",2071140,1984330,149,387
"New Zealand, 2011",2087520,2002940,116,377
"New Zealand, 2012",2101180,2019690,145,404
"New Zealand, 2013",2117960,2011810,147,366
"Nicaragua, 2010",2602471,2504956,77,274
"Nicaragua, 2011",2638498,2539423,93,276
"Nicaragua, 2012",2675565,2575878,82,234
"Nicaragua, 2013",2713298,2613637,75,276
"Nicaragua, 2014",2750943,2651481,70,241
"Nicaragua, 2015",2787968,2688515,85,230
"Norway, 1986",1982600,1929100,160,419
"Norway, 1987",1991600,1937900,163,486
"Norway, 1988",1999200,1947400,198,510
"Norway, 1989",2003900,1951900,179,481
"Norway, 1990",2007600,1953700,171,488
"Norway, 1991",2013600,1959000,176,499
"Norway, 1992",2022200,1967600,167,449
"Norway, 1993",2033000,1977500,141,449
"Norway, 1994",2044700,1988600,152,379
"Norway, 1995",2056400,1999500,137,411
"Norway, 1996",2067500,2010500,128,389
"Norway, 1997",2079300,2022800,146,387
"Norway, 1998",2092200,2037200,149,399
"Norway, 1999",2106569,2053176,153,430
"Norway, 2000",2109298,2059017,132,409
"Norway, 2001",2131646,2083457,138,411
"Norway, 2002",2145458,2098231,132,362
"Norway, 2003",2159769,2113355,128,374
"Norway, 2004",2173634,2128326,170,359
"Norway, 2005",2189247,2145845,173,360
"Norway, 2006",2205537,2166566,141,391
"Norway, 2007",2223726,2193643,149,336
"Norway, 2008",2246250,2225839,158,347
"Norway, 2009",2270994,2256542,157,416
"Norway, 2010",2296246,2286639,164,384
"Norway, 2011",2322494,2320806,164,434
"Norway, 2012",2349455,2357130,146,369
"Norway, 2013",2376370,2391235,176,378
"Norway, 2014",2403201,2423977,147,401
"Norway, 2015",2428440,2454469,190,400
"Oman, 2009",1036999,1570550,0,13
"Oman, 2010",1063959,1684481,0,13
"Oman, 2014",1235694,2395404,0,7
"Panama, 1979",791000,815000,6,24
"Panama, 1980",826000,861000,5,33
"Panama, 1981",840000,876000,6,31
"Panama, 1982",866000,903000,5,30
"Panama, 1983",888000,924000,7,32
"Panama, 1984",897900,936000,5,24
"Panama, 1985",932300,967400,12,44
"Panama, 1986",952100,987800,15,67
"Panama, 1987",972100,1008700,21,64
"Panama, 1988",1021576,1042734,21,66
"Panama, 1989",1045811,1066668,9,61
"Panama, 1996",1227521,1245330,15,98
"Panama, 1997",1254337,1271873,21,124
"Panama, 1998",1281030,1298403,24,124
"Panama, 1999",1308069,1325279,19,124
"Panama, 2000",1335775,1352735,19,124
"Panama, 2001",1363197,1379785,23,139
"Panama, 2002",1391925,1408121,30,130
"Panama, 2003",1421610,1437354,21,174
"Panama, 2004",1451621,1466832,34,152
"Panama, 2005",1481520,1496075,24,148
"Panama, 2006",1512148,1525811,13,172
"Panama, 2007",1542223,1554915,21,150
"Panama, 2008",1572009,1583627,32,154
"Panama, 2009",1602015,1612498,28,149
"Panama, 2010",1632558,1641857,21,130
"Panama, 2011",1663084,1671107,19,125
"Panama, 2012",1694247,1700997,18,117
"Panama, 2013",1725944,1731443,13,117
"Panama, 2014",1757982,1762231,20,127
"Panama, 2015",1790195,1793187,19,91
"Paraguay, 1979",1294335,1310543,18,23
"Paraguay, 1980",1326808,1345924,25,27
"Paraguay, 1981",1360237,1381383,13,30
"Paraguay, 1982",1397381,1420814,14,36
"Paraguay, 1983",1437725,1463518,19,41
"Paraguay, 1984",1480154,1508133,17,36
"Paraguay, 1985",1523789,1553525,27,36
"Paraguay, 1986",1568407,1599128,23,33
"Paraguay, 1987",1615187,1646788,23,39
"Paraguay, 1989",1712963,1746213,19,48
"Paraguay, 1990",1763025,1797204,50,49
"Paraguay, 1991",1813802,1849010,27,48
"Paraguay, 1994",1966462,2006055,27,81
"Paraguay, 1995",2017743,2059015,35,83
"Paraguay, 1996",2069181,2112241,30,69
"Paraguay, 1997",2119964,2165009,41,85
"Paraguay, 1998",2170486,2217608,45,93
"Paraguay, 1999",2221514,2270706,55,106
"Paraguay, 2000",2273480,2324678,47,107
"Paraguay, 2001",2324146,2377168,54,98
"Paraguay, 2002",2377555,2432366,66,111
"Paraguay, 2003",2431891,2488598,45,129
"Paraguay, 2004",2484221,2543080,77,157
"Paraguay, 2005",2532541,2593916,84,155
"Paraguay, 2006",2579483,2643977,69,182
"Paraguay, 2007",2619623,2687546,68,159
"Paraguay, 2008",2655347,2726822,62,160
"Paraguay, 2009",2690679,2765541,70,213
"Paraguay, 2010",2728394,2806309,63,160
"Paraguay, 2011",2765218,2845281,76,222
"Paraguay, 2012",2806603,2888680,88,187
"Paraguay, 2013",2851189,2935018,76,247
"Paraguay, 2014",2896221,2981373,110,269
"Philippines, 1992",27453468,27851216,103,244
"Philippines, 1993",28195568,28586001,340,506
"Philippines, 1997",31207463,31565231,219,595
"Philippines, 1998",31952247,32300367,218,665
"Philippines, 1999",32704019,33036182,255,788
"Philippines, 2000",33467795,33775687,358,1045
"Philippines, 2001",34235281,34502811,277,927
"Philippines, 2002",35019189,35237254,302,999
"Philippines, 2003",35803799,35977690,402,1142
"Philippines, 2006",38107248,38328507,402,1386
"Philippines, 2007",38842114,39166540,406,1292
"Philippines, 2008",39572829,40023059,409,1411
"Philippines, 2009",40316546,40877309,525,1549
"Philippines, 2010",41064516,41696476,487,1629
"Philippines, 2011",41763891,42437876,570,1879
"Poland, 1983",17096500,16095500,805,3730
"Poland, 1984",17244600,16244700,925,4242
"Poland, 1985",17391200,16388800,853,4092
"Poland, 1986",17531800,16525200,849,4017
"Poland, 1987",17674600,16664600,910,4102
"Poland, 1988",17827400,16815700,841,3791
"Poland, 1989",17953300,16926200,727,3580
"Poland, 1990",18100300,17064500,879,4091
"Poland, 1991",18224000,17172300,868,4448
"Poland, 1992",18335600,17269800,981,4732
"Poland, 1993",18434100,17358500,983,4641
"Poland, 1994",18521400,17438600,891,4628
"Poland, 1995",18598000,17506900,937,4562
"Poland, 1996",18671700,17571600,909,4537
"Poland, 1999",18855200,17720000,884,4895
"Poland, 2000",18728128,17505216,972,4869
"Poland, 2001",18765042,17530348,850,5005
"Poland, 2002",18797235,17550263,992,4933
"Poland, 2003",18806031,17547744,888,4948
"Poland, 2004",18822194,17549402,910,5162
"Poland, 2005",18830139,17541226,907,5138
"Poland, 2006",18829224,17519008,858,4947
"Poland, 2007",18822217,17488626,812,4472
"Poland, 2008",18806963,17455748,812,4870
"Poland, 2009",18791724,17431678,946,5531
"Poland, 2010",18639430,17388361,840,5517
"Poland, 2011",18633510,17374727,760,5353
"Poland, 2012",18639080,17374366,810,5558
"Poland, 2013",18643732,17379962,840,5378
"Poland, 2014",18662670,17396960,811,5123
"Poland, 2015",18675823,17410752,723,4697
"Portugal, 1980",4780800,4255900,204,525
"Portugal, 1981",4724200,4348600,239,542
"Portugal, 1982",4763700,4388100,251,582
"Portugal, 1983",4792300,4416900,270,707
"Portugal, 1984",4817700,4442300,314,718
"Portugal, 1985",4845198,4468732,290,693
"Portugal, 1986",4862795,4486453,269,672
"Portugal, 1987",4877213,4501776,251,709
"Portugal, 1988",4887406,4513075,196,623
"Portugal, 1989",4894185,4521085,198,549
"Portugal, 1990",4896164,4524650,228,642
"Portugal, 1991",4891250,4519257,234,708
"Portugal, 1992",4888217,4513340,236,630
"Portugal, 1993",4893712,4516370,194,586
"Portugal, 1994",4907522,4528487,175,587
"Portugal, 1995",4926933,4546911,227,582
"Portugal, 1996",4948213,4567747,162,491
"Portugal, 1997",4972623,4591956,145,483
"Portugal, 1998",4998918,4618192,140,416
"Portugal, 1999",5025529,4645828,138,407
"Portugal, 2000",5058567,4681518,107,417
"Portugal, 2001",5091951,4717585,175,586
"Portugal, 2002",5120188,4739644,263,947
"Portugal, 2003",5143508,4751501,267,889
"Portugal, 2007",5214745,4790968,269,751
"Portugal, 2008",5233267,4797373,244,794
"Portugal, 2009",5250251,4799667,222,803
"Portugal, 2010",5266750,4799878,265,834
"Portugal, 2011",5273456,4789359,223,794
"Portugal, 2012",5264323,4765073,217,859
"Portugal, 2013",5249446,4735628,241,811
"Portugal, 2014",5237049,4707384,298,924
"Puerto Rico, 1979",1441000,1372000,46,228
"Puerto Rico, 1980",1472400,1383700,46,246
"Puerto Rico, 1981",1490000,1416000,37,265
"Puerto Rico, 1982",1502000,1416000,41,259
"Puerto Rico, 1983",1545000,1459000,40,288
"Puerto Rico, 1984",1562600,1471800,33,266
"Puerto Rico, 1985",1587200,1495300,35,234
"Puerto Rico, 1986",1621700,1521500,38,272
"Puerto Rico, 1987",1645700,1543700,38,234
"Puerto Rico, 1988",1669400,1566200,30,284
"Puerto Rico, 1989",1694200,1589600,35,292
"Puerto Rico, 1990",1653000,1551000,38,333
"Puerto Rico, 1991",1669000,1568200,36,319
"Puerto Rico, 1992",1705700,1582200,35,279
"Puerto Rico, 1993",1721024,1591448,34,311
"Puerto Rico, 1994",1738400,1605224,35,320
"Puerto Rico, 1995",1755828,1619326,34,255
"Puerto Rico, 1996",1770948,1630875,34,297
"Puerto Rico, 1997",1787807,1644950,19,254
"Puerto Rico, 1998",1804919,1659915,31,290
"Puerto Rico, 1999",1819782,1672939,32,257
"Puerto Rico, 2000",1830350,1681597,27,278
"Puerto Rico, 2001",1836551,1685661,34,255
"Puerto Rico, 2002",1838401,1685550,37,202
"Puerto Rico, 2003",1836820,1682206,22,240
"Puerto Rico, 2004",1833697,1677765,23,256
"Puerto Rico, 2005",1830553,1674046,41,248
"Puerto Rico, 2006",1827241,1671795,22,243
"Puerto Rico, 2007",1823934,1669697,43,228
"Puerto Rico, 2008",1820879,1667932,47,253
"Puerto Rico, 2009",1818077,1666397,29,301
"Puerto Rico, 2010",1815439,1664940,45,241
"Puerto Rico, 2011",1812394,1662904,42,216
"Puerto Rico, 2012",1810759,1661913,44,204
"Puerto Rico, 2013",1810036,1661629,37,204
"Puerto Rico, 2014",1809486,1661470,32,188
"Puerto Rico, 2015",1808555,1660966,25,201
"Qatar, 1995",150619,312830,0,0
"Qatar, 2001",179862,359621,5,18
"Qatar, 2004",228793,468398,1,20
"Qatar, 2005",247457,549161,1,16
"Qatar, 2006",270131,669959,5,24
"Qatar, 2007",295773,819706,4,37
"Qatar, 2008",324062,986403,2,31
"Qatar, 2009",354403,1152246,3,41
"Qatar, 2010",386068,1303524,1,46
"Qatar, 2011",419200,1434881,5,45
"Qatar, 2012",453533,1549616,5,38
"Qatar, 2013",487456,1647893,1,36
"Qatar, 2014",519276,1732406,3,52
"Qatar, 2015",548180,1805967,9,57
"Qatar, 2016",572704,1867157,7,63
"Republic of Korea, 1985",18412100,18304600,998,2691
"Republic of Korea, 1986",18676600,18863800,890,2568
"Republic of Korea, 1987",18956800,19158100,901,2400
"Republic of Korea, 1988",19286600,19413900,831,2118
"Republic of Korea, 1989",19536800,19634700,899,2124
"Republic of Korea, 1990",19754200,19835300,962,2197
"Republic of Korea, 1991",19950400,20043300,930,2139
"Republic of Korea, 1992",20140300,20230900,1066,2467
"Republic of Korea, 1993",20325200,20429600,1276,2848
"Republic of Korea, 1994",20510400,20634900,1350,2862
"Republic of Korea, 1995",21042200,21034200,1522,3319
"Republic of Korea, 1996",21256200,21250900,1815,4042
"Republic of Korea, 1997",21480100,21476000,1862,4162
"Republic of Korea, 1998",21695400,21700300,2369,6200
"Republic of Korea, 1999",21898800,21918500,2107,4968
"Republic of Korea, 2000",22118747,22152996,1963,4481
"Republic of Korea, 2001",22334041,22376824,2059,4852
"Republic of Korea, 2002",22534673,22575368,2672,5939
"Republic of Korea, 2003",22711339,22744549,3384,7514
"Republic of Korea, 2004",22875199,22904771,3613,7879
"Republic of Korea, 2005",23060659,23091225,3985,8026
"Republic of Korea, 2006",23241040,23272924,3426,7227
"Republic of Korea, 2007",23391286,23422921,4427,7747
"Republic of Korea, 2008",23535733,23566014,4598,8260
"Republic of Korea, 2009",23679050,23700967,5475,9927
"Republic of Korea, 2010",23797880,23800735,5237,10321
"Republic of Korea, 2011",23908002,23890015,5040,10866
"Republic of Korea, 2012",24029767,23991218,4538,9621
"Republic of Korea, 2013",24153841,24094383,4367,10059
"Republic of Korea, 2014",24271905,24194012,4099,9735
"Republic of Korea, 2015",24383951,24287801,3954,9556
"Republic of Moldova, 1981",1948835,1725455,228,572
"Republic of Moldova, 1982",1967152,1744582,220,611
"Republic of Moldova, 1985",2007686,1787584,202,652
"Republic of Moldova, 1986",2021366,1801953,225,557
"Republic of Moldova, 1987",2034093,1815067,224,493
"Republic of Moldova, 1988",2048417,1830179,201,517
"Republic of Moldova, 1989",2063832,1847807,192,546
"Republic of Moldova, 1990",2074081,1860958,144,502
"Republic of Moldova, 1991",2080035,1870526,196,527
"Republic of Moldova, 1992",2084383,1877540,154,533
"Republic of Moldova, 1993",2101817,1898586,161,567
"Republic of Moldova, 1994",2101768,1898554,172,612
"Republic of Moldova, 1995",2105907,1904794,187,615
"Republic of Moldova, 1996",2107707,1908578,139,638
"Republic of Moldova, 1997",1781985,1620156,114,512
"Republic of Moldova, 1998",1788591,1627168,119,456
"Republic of Moldova, 1999",1792877,1631815,96,482
"Republic of Moldova, 2000",1794951,1634987,78,466
"Republic of Moldova, 2001",1795303,1636519,99,523
"Republic of Moldova, 2002",1795239,1637422,99,484
"Republic of Moldova, 2003",1793287,1636359,91,529
"Republic of Moldova, 2004",1789872,1633200,97,506
"Republic of Moldova, 2005",1785470,1628457,99,532
"Republic of Moldova, 2006",1776067,1625609,96,541
"Republic of Moldova, 2007",1767485,1623613,80,482
"Republic of Moldova, 2008",1763117,1619767,103,517
"Republic of Moldova, 2009",1759416,1616684,95,556
"Republic of Moldova, 2010",1756324,1613998,97,579
"Republic of Moldova, 2011",1754558,1612141,72,430
"Republic of Moldova, 2012",1753483,1611636,102,469
"Republic of Moldova, 2013",1752428,1611386,89,487
"Republic of Moldova, 2014",1751745,1611240,83,498
"Republic of Moldova, 2015",1751458,1611102,92,464
"Republic of Moldova, 2016",1751770,1610530,84,462
"Reunion, 2001",347588,329630,20,77
"Reunion, 2002",352401,335407,17,76
"Reunion, 2003",356898,340962,24,83
"Reunion, 2004",361472,346099,16,64
"Reunion, 2005",366380,350693,24,65
"Reunion, 2006",371231,353959,17,75
"Reunion, 2007",376814,357091,19,73
"Reunion, 2008",382739,360142,19,74
"Reunion, 2009",388413,363151,13,86
"Reunion, 2010",393404,366149,25,64
"Reunion, 2011",397162,368951,15,61
"Reunion, 2012",401773,373127,15,69
"Reunion, 2013",404881,376373,16,77
"Reunion, 2014",407925,379655,14,68
"Rodrigues, 2004",16571,16076,0,1
"Rodrigues, 2005",16613,16132,1,0
"Rodrigues, 2006",16691,16180,1,2
"Rodrigues, 2007",16763,16280,0,1
"Rodrigues, 2008",16917,16427,0,2
"Rodrigues, 2010",17177,16689,2,3
"Rodrigues, 2011",17330,16815,2,1
"Rodrigues, 2012",17525,16984,1,0
"Rodrigues, 2013",19213,18560,1,1
"Rodrigues, 2014",19420,18750,2,4
"Rodrigues, 2015",19617,18916,1,1
"Rodrigues, 2016",19748,19010,0,8
"Romania, 1989",10844500,10500000,643,1886
"Romania, 1990",10873500,10528400,556,1523
"Romania, 1991",10904200,10553800,523,1638
"Romania, 1992",10824000,10403100,573,2077
"Romania, 1993",10870600,10437000,583,2191
"Romania, 1994",10917300,10468700,589,2298
"Romania, 1995",10957600,10493700,537,2256
"Romania, 1996",10937600,10459700,493,2335
"Romania, 1997",10932100,10436900,484,2375
"Romania, 1998",10924300,10414100,488,2350
"Romania, 1999",10915500,10395300,501,2235
"Romania, 2000",10909400,10381000,511,2325
"Romania, 2001",10906252,10366635,442,2278
"Romania, 2002",10620085,10080495,528,2539
"Romania, 2003",10603482,10053359,508,2386
"Romania, 2004",10585484,10025283,444,2276
"Romania, 2005",10568280,10001680,470,2133
"Romania, 2006",10549483,9977078,481,2240
"Romania, 2007",10524172,9950854,446,1984
"Romania, 2008",10506266,9927537,446,2026
"Romania, 2009",10487996,9902886,389,2197
"Romania, 2010",10471134,9877515,462,2304
"Romania, 2011",10445081,9846620,394,2142
"Romania, 2012",9794793,9246801,353,2142
"Romania, 2013",9753485,9249860,364,2043
"Romania, 2014",9717395,9234840,322,1887
"Romania, 2015",9674747,9189180,342,1886
"Romania, 2016",9610533,9133250,318,1651
"Russian Federation, 1980",69427200,58393200,10149,37728
"Russian Federation, 1981",69711600,58767300,9768,37789
"Russian Federation, 1982",70023000,59165300,9866,38797
"Russian Federation, 1985",70969900,60447200,9436,35081
"Russian Federation, 1986",71342000,60978400,8533,24696
"Russian Federation, 1987",71746500,61587300,8548,25294
"Russian Federation, 1988",72169100,62233500,8888,26677
"Russian Federation, 1989",72596600,62847200,8548,29373
"Russian Federation, 1990",73008500,63389700,8742,30286
"Russian Federation, 1991",73402700,63880300,8460,30821
"Russian Federation, 1992",73769800,64349100,9129,36794
"Russian Federation, 1993",73470800,64222000,10096,45750
"Russian Federation, 1994",73821200,64655000,10388,51032
"Russian Federation, 1995",74118200,64968900,10633,49915
"Russian Federation, 1996",74229000,65043600,9685,47826
"Russian Federation, 1997",74240600,65042600,9494,45252
"Russian Federation, 1998",74163100,64959000,8971,42547
"Russian Federation, 1999",73976300,64741500,9909,47065
"Russian Federation, 2000",73759431,64446264,9099,47520
"Russian Federation, 2001",73474877,64046632,9006,47952
"Russian Federation, 2002",73074905,63515995,9057,45967
"Russian Federation, 2003",73597958,63421910,8450,42995
"Russian Federation, 2004",73719023,63352676,8202,40894
"Russian Federation, 2005",73344749,62817442,7464,38338
"Russian Federation, 2006",73010042,62347420,7227,35387
"Russian Federation, 2007",72763050,62015914,7341,33808
"Russian Federation, 2008",72594898,61791051,6925,31286
"Russian Federation, 2009",72462593,61622840,6485,30923
"Russian Federation, 2010",72924753,61941234,5795,27561
"Russian Federation, 2011",72844705,61901169,5568,25470
"Russian Federation, 2012",72781138,61887384,5454,24189
"Russian Federation, 2013",72777048,61936914,4976,23714
"Russian Federation, 2014",72777048,61936914,4655,21886
"Russian Federation, 2015",74007955,63010988,4571,20861
"Saint Kitts and Nevis, 1990",20400,18700,0,0
"Saint Kitts and Nevis, 1991",20400,18700,0,0
"Saint Kitts and Nevis, 1992",20400,18700,0,0
"Saint Lucia, 1979",51500,44700,0,1
"Saint Lucia, 1980",52500,45600,0,3
"Saint Lucia, 1981",52863,50145,0,1
"Saint Lucia, 1983",58300,53600,1,8
"Saint Lucia, 1986",57400,52600,0,5
"Saint Lucia, 1987",57900,53400,1,10
"Saint Lucia, 1988",58800,54200,4,6
"Saint Lucia, 1989",60426,58140,3,5
"Saint Lucia, 1990",61417,59120,1,2
"Saint Lucia, 1991",62437,60059,0,6
"Saint Lucia, 1992",63383,60840,0,11
"Saint Lucia, 1993",64297,61549,0,8
"Saint Lucia, 1994",65253,62304,2,4
"Saint Lucia, 1995",66288,63178,1,9
"Saint Lucia, 1996",67453,64168,1,6
"Saint Lucia, 1997",68660,65307,0,9
"Saint Lucia, 1998",69873,66527,3,5
"Saint Lucia, 1999",71075,67738,1,7
"Saint Lucia, 2000",72225,68875,3,11
"Saint Lucia, 2001",73259,69907,0,7
"Saint Lucia, 2002",74291,70877,4,8
"Saint Lucia, 2003",75319,71808,4,6
"Saint Lucia, 2004",76348,72773,0,8
"Saint Lucia, 2005",77388,73781,0,4
"Saint Lucia, 2006",78539,74921,0,2
"Saint Lucia, 2008",80670,77206,0,0
"Saint Lucia, 2009",81601,78219,0,13
"Saint Lucia, 2010",82427,79076,1,3
"Saint Lucia, 2011",83132,79760,0,8
"Saint Lucia, 2012",83689,80251,1,9
"Saint Lucia, 2013",84156,80634,1,13
"Saint Lucia, 2014",84616,80980,3,11
"Saint Vincent and Grenadines, 1982",45431,42527,0,0
"Saint Vincent and Grenadines, 1983",45791,43089,0,0
"Saint Vincent and Grenadines, 1984",46112,43632,0,0
"Saint Vincent and Grenadines, 1985",45900,43900,0,2
"Saint Vincent and Grenadines, 1986",46400,44400,0,0
"Saint Vincent and Grenadines, 1987",46818,45218,0,0
"Saint Vincent and Grenadines, 1990",47422,46719,0,5
"Saint Vincent and Grenadines, 1995",47954,48020,0,7
"Saint Vincent and Grenadines, 1996",47953,48142,1,7
"Saint Vincent and Grenadines, 1997",47973,48282,0,3
"Saint Vincent and Grenadines, 1998",48005,48444,0,10
"Saint Vincent and Grenadines, 1999",48061,48624,0,6
"Saint Vincent and Grenadines, 2000",48148,48808,0,5
"Saint Vincent and Grenadines, 2001",48294,49047,1,7
"Saint Vincent and Grenadines, 2002",48483,49316,1,6
"Saint Vincent and Grenadines, 2003",48705,49587,0,4
"Saint Vincent and Grenadines, 2004",48900,49840,0,4
"Saint Vincent and Grenadines, 2005",49072,50046,1,7
"Saint Vincent and Grenadines, 2006",49233,50230,1,5
"Saint Vincent and Grenadines, 2007",49342,50347,0,11
"Saint Vincent and Grenadines, 2008",49412,50414,1,3
"Saint Vincent and Grenadines, 2009",49467,50460,0,1
"Saint Vincent and Grenadines, 2010",49532,50518,0,5
"Saint Vincent and Grenadines, 2011",49534,50503,1,4
"Saint Vincent and Grenadines, 2012",49606,50561,3,7
"Saint Vincent and Grenadines, 2013",49731,50667,0,0
"Saint Vincent and Grenadines, 2014",49876,50800,0,2
"Saint Vincent and Grenadines, 2015",50028,50920,1,2
"San Marino, 1995",12234,11567,1,2
"San Marino, 1996",12467,11740,1,1
"San Marino, 1997",12665,11901,3,5
"San Marino, 1998",12792,12049,1,3
"San Marino, 1999",12945,12247,0,2
"San Marino, 2000",13060,12309,0,1
"San Marino, 2005",14462,13802,0,1
"Sao Tome and Principe, 1984",44000,43000,0,1
"Sao Tome and Principe, 1985",44000,43000,0,2
"Sao Tome and Principe, 1987",46300,45200,1,0
"Serbia, 1998",3692057,3486945,445,1015
"Serbia, 1999",3687389,3475442,480,1091
"Serbia, 2000",3681759,3467381,474,1069
"Serbia, 2001",3678784,3463626,417,1025
"Serbia, 2002",3676145,3461968,395,1051
"Serbia, 2003",3663118,3448857,381,997
"Serbia, 2004",3650542,3435822,367,978
"Serbia, 2005",3637050,3421932,431,1006
"Serbia, 2006",3623473,3408338,422,1021
"Serbia, 2007",3612243,3397367,385,968
"Serbia, 2008",3601186,3387346,386,903
"Serbia, 2009",3590133,3378107,376,997
"Serbia, 2010",3577388,3367483,304,903
"Serbia, 2011",3549614,3350413,347,909
"Serbia, 2012",3532148,3335026,311,932
"Serbia, 2013",3515079,3317761,296,901
"Serbia, 2014",3498926,3302884,277,857
"Serbia, 2015",3480549,3285857,269,793
"Seychelles, 1985",28700,28600,1,7
"Seychelles, 1986",28900,28500,0,1
"Seychelles, 1987",29400,28900,0,3
"Seychelles, 2001",37965,37398,1,5
"Seychelles, 2002",38778,38126,0,5
"Seychelles, 2003",39544,38858,2,6
"Seychelles, 2004",40157,39578,0,6
"Seychelles, 2005",40593,40307,1,4
"Seychelles, 2006",40688,41003,0,8
"Seychelles, 2007",40615,41716,1,5
"Seychelles, 2008",40496,42404,0,4
"Seychelles, 2009",40468,42961,0,4
"Seychelles, 2010",40596,43289,0,6
"Seychelles, 2011",40940,39777,0,5
"Seychelles, 2012",41453,39771,0,3
"Seychelles, 2013",41583,40958,0,9
"Seychelles, 2014",42421,41424,2,2
"Seychelles, 2015",43478,42471,1,6
"Singapore, 1979",1062600,1100100,112,134
"Singapore, 1980",1089400,1131000,117,152
"Singapore, 1981",1103600,1144900,84,106
"Singapore, 1982",1117800,1158600,102,136
"Singapore, 1983",1130300,1170700,111,156
"Singapore, 1984",1143700,1183600,93,118
"Singapore, 1985",1155300,1195200,134,190
"Singapore, 1986",1170000,1209300,135,191
"Singapore, 1987",1184100,1223700,130,171
"Singapore, 1988",1183100,1210300,146,220
"Singapore, 1989",1202000,1229100,179,215
"Singapore, 1990",1241500,1270300,153,201
"Singapore, 1991",1267000,1292300,119,177
"Singapore, 1992",1291700,1312300,117,160
"Singapore, 1993",1320100,1335700,102,168
"Singapore, 1994",1350500,1361700,126,190
"Singapore, 1995",1379400,1385900,138,226
"Singapore, 1996",1409500,1413600,87,152
"Singapore, 1997",1440000,1440000,107,196
"Singapore, 1998",1472300,1467900,128,200
"Singapore, 1999",1502500,1494600,90,187
"Singapore, 2000",1529900,1517700,105,204
"Singapore, 2001",1559800,1543200,115,190
"Singapore, 2002",1593600,1571600,129,192
"Singapore, 2003",1626200,1600000,119,201
"Singapore, 2004",1657300,1624100,130,205
"Singapore, 2005",1688000,1654400,119,240
"Singapore, 2006",1725100,1686800,141,231
"Singapore, 2007",1713100,1676500,131,197
"Singapore, 2008",1745000,1703900,112,207
"Singapore, 2009",1792100,1744000,114,235
"Singapore, 2010",1814800,1762000,99,197
"Singapore, 2011",1828900,1772000,111,197
"Singapore, 2012",1846300,1785300,149,243
"Singapore, 2013",1863472,1797984,112,245
"Singapore, 2014",1879488,1809882,105,250
"Singapore, 2015",1896339,1822776,111,218
"Slovakia, 1992",2524668,2384560,142,654
"Slovakia, 1993",2539917,2395343,116,622
"Slovakia, 1994",2560763,2414095,108,583
"Slovakia, 1995",2576500,2428732,126,609
"Slovakia, 1996",2590877,2441559,106,566
"Slovakia, 1997",2604559,2453830,106,524
"Slovakia, 1998",2616800,2464300,88,585
"Slovakia, 1999",2626400,2471800,102,590
"Slovakia, 2000",2634211,2477602,135,594
"Slovakia, 2001",2630884,2469372,112,580
"Slovakia, 2002",2635167,2472417,100,617
"Slovakia, 2003",2638889,2475093,105,648
"Slovakia, 2004",2642926,2478284,112,564
"Slovakia, 2005",2645714,2481232,95,584
"Slovakia, 2006",2646859,2482510,0,0
"Slovakia, 2007",2647600,2485060,0,0
"Slovakia, 2008",2648641,2488426,83,508
"Slovakia, 2009",2650212,2491532,58,543
"Slovakia, 2010",2652856,2494706,92,539
"Slovakia, 2012",2631993,2484929,72,499
"Slovakia, 2013",2633917,2488292,83,533
"Slovakia, 2014",2636852,2492834,83,471
"Slovenia, 1985",950700,888600,146,501
"Slovenia, 1986",957600,895800,136,460
"Slovenia, 1987",962700,901100,172,446
"Slovenia, 1988",965300,902600,171,461
